category,display_name,id,bestair,definition,source,time,method,formula,equipment,link
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation or arousal,rdi5percentarousal,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: all desaturations,rdisupall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 2% desaturation,rdisup2percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 3% desaturation,rdisup3percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 4% desaturation,rdisup4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 5% desaturation,rdisup5percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 5% desaturation,rdirem5percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 2% desaturation,rdinrem2percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 3% desaturation,rdinrem3percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 4% desaturation,rdinrem4percent,,,,,Study Data - Rd,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 5% desaturation,rdinrem5percent,,,,,Study Data - Rd,,,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Cheyne Stoke breathing,cheynestokebreath,,,,,Study Data - Rd,,,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Periodic breathing,periodicbreath,,,,,Study Data - Rd,,,
08D - Sleep Study Data - Stages,NREM sleep time,nremsleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,REM sleep time,remsleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,,,,,Study Data - Std,,,
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,,,,,Study Data - Std,,,
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,,,,,Study Data - Ad,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,,,,,Study Data - Ad,,,
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,,,,,Study Data - Ld,,,
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events with arousal,plmeventsarous,,,,,Study Data - Ld,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement events with arousal index,plmeventsarousindex,,,,,Study Data - Ld,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement index,plmindex,,,,,Study Data - Ld,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 70%,sleepo2lt70,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 75%,sleepo2lt75,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 80%,sleepo2lt80,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 85%,sleepo2lt85,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 88%,sleepo2lt88,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 92%,sleepo2lt92,,,,,Study Data - Od,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 95%,sleepo2lt95,,,,,Study Data - Od,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,,,,,Study Data - Od,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,,,,,Study Data - Od,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,,,,,Study Data - Od,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation with respiratory events,avgo2respevents,,,,,Study Data - Od,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,,,,,Study Data - Od,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation with respiratory events,nadiro2respevents,,,,,Study Data - Od,,,
08G4 - Sleep Study Data - Oxygen Saturation -  Indices,Oxygen desaturation index,o2desatindex,,,,,Study Data - Od,,,
08H - Sleep Study Data - Heart Rate,Average heart rate,avgheartrate,,,,,Study Data - Hed,,,
08H - Sleep Study Data - Heart Rate,Average heart rate,avgheartrate,,,,,Study Data - Hed,,,
08H - Sleep Study Data - Heart Rate,Average heart rate,avgheartrate,,,,,Study Data - Hed,,,
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox,,,,,Study Data - Eld,,,
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - persistent,afibpsgpersist,,,,,Study Data - Eld,,,
08J - Sleep Study Data - Quality,Quality of sleep study,sleepstudyquality,embqs_overall_quality,Overall study quality,,,Study Data - Qud,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,embqs_abdomen_qcode,Abdomen signal quality code,,,Study Data - Qud,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,embqs_cannula_flow_qcode,Cannula flow/pressure signal quality code,,,Study Data - Qud,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,embqs_ekg_qcode,EKG signal quality code,,,Study Data - Qud,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,embqs_flow_qcode,Flow signal quality code,,,Study Data - Qud,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,embqs_oximetry_qcode,Oximetry signal quality code,,,Study Data - Qud,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,embqs_thoracic_qcode,Thoracic signal quality code,,,Study Data - Qud,,,
08K - Sleep Study Data - End-Tidal CO2,Capnograph type,capnotype,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Hours of usable CO2,hoursco2,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM,avgco2nrem,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM - normalized for capnograph type,avgco2nremnorm,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM,avgco2rem,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM - normalized for capnograph type,avgco2remnorm,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep,baseco2asleep,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep - normalized for capnograph type,baseco2asleepnorm,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake,baseco2awake,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake - normalized for capnograph type,baseco2awakenorm,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep,peakco2asleep,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep - normalized for capnograph type,peakco2asleepnorm,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg,percentco2gt45,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg - normalized for capnograph type,percentco2gt45norm,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg,percentco2gt50,,,,,Study Data - End,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg - normalized for capnograph type,percentco2gt50norm,,,,,Study Data - End,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Good Days,gooddays5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Invalid Nights,nightsinvalid5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Nights Recorded,nightsrec5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Valid Nights,nightsvalid5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Weekdays,weekdays5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Weekend Days,weekenddays5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Data Collection End Time,timeend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Data Collection Start Time,timestart5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Days From Exam 5 To Study Date,stdyady5c,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Diary Completeness,diarycomplete5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Diary Present,diarypresent5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Overall Quality Grading,actquality5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Overall Quality Grading (QS),overallqual5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Sleep Journal Received,sleepjournal5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Duration Rest,dur_avg_rest5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep % Sleep,pslp_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep % Wake,pwake_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Efficiency (%),eff_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Number Of Wake Bouts,wake_bouts_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Onset Latency (Minutes),latency_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Sleep Time (Minutes),slptime_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Wake Time (Minutes),wake_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Waso (Minutes),waso_avg_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime,mbedt5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime Weekdays,mbedtwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime Weekend,mbedtend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time [The Midpoint Between Sleep Onset And Offset],mmidslpt5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Std Dev,smidslpt5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekday,mmidslptwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekday Std Dev,smidslptwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekend,mmidslptend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekend Std Dev,smidslptend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Wake Time,mwaket5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Wake Time Weekdays,mwaketwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Wake Time Weekend,mwaketend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekday Days Efficiency,neffwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekday Days Sleep,nslpwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekend Days Efficiency,neffend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekend Days Sleep,nslpend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Std Dev Sleep Sleep Time (Minutes),slptime_std_sleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Efficiency CV,ceffend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Efficiency Mean,meffwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Efficiency Std Dev,seffwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep CV,cslpend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep Mean,mslpwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep Mean (In Hours),mslpwkhr5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep Std Dev,sslpwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Efficiency CV,ceffwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Efficiency Mean,meffend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Efficiency Std Dev,seffend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep CV,cslpwk5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep Mean,mslpend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep Mean (In Hours),mslpendhr5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep Std Dev,sslpend5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Days (Minutes),avg24hrsleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Non-Workday Days (Minutes),avg24hrsleepnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Reliable Days (Minutes),avg24hrsleeprd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Weekday Days (Minutes),avg24hrsleepwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Weekend Days (Minutes),avg24hrsleepwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Workday Days (Minutes),avg24hrsleepwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute In Active Intervals Across All Days (Activity Counts),avgactactive5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute In Main Sleep Periods Across All Days (Activity Counts),avgactmainsleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute In Nap Periods Across All Days (Activity Counts),avgactnaps5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute Over 24-Hour Periods Across All Days (Activity Counts),avgact24hr5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Day (Minutes),avgbluetalt5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Non-Workday Day (Minutes),avgbluetaltnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Reliable Day (Minutes),avgbluetaltrd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekday Day (Minutes),avgbluetaltwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekend Day (Minutes),avgbluetaltwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Workday Day (Minutes),avgbluetaltwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Days (hh:hm:ss),avginbedtime5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Non-Workday Days (hh:hm:ss),avginbedtimenw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Reliable Days (hh:hm:ss),avginbedtimerd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Weekday Days (hh:hm:ss),avginbedtimewd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Weekend Days (hh:hm:ss),avginbedtimewe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Workday Days (hh:hm:ss),avginbedtimewo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Days (Percent),avgfragmentation5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Non-Workday Days (Percent),avgfragmentationnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Reliable Days (Percent),avgfragmentationrd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Weekday Days (Percent),avgfragmentationwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Weekend Days (Percent),avgfragmentationwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Workday Days (Percent),avgfragmentationwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Day (Minutes),avggreentalt5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Non-Workday Day (Minutes),avggreentaltnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Reliable Day (Minutes),avggreentaltrd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekday Day (Minutes),avggreentaltwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekend Day (Minutes),avggreentaltwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Workday Day (Minutes),avggreentaltwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Days (Minutes),avginbedduration5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Non-Workday Days (Minutes),avginbeddurationnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Reliable Days (Minutes),avginbeddurationrd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Weekday Days (Minutes),avginbeddurationwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Weekend Days (Minutes),avginbeddurationwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Workday Days (Minutes),avginbeddurationwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Day When All Naps Are Counted (Naps/Day),avgnnapsall5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps/Day),avgnnapssleep155,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Day When Only Naps With Some Sleep Are Counted (Naps/Day),avgnnapssleep5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Non-Workday Day When All Naps Are Counted (Naps),avgnnapsallnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Non-Workday Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15nw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Non-Workday Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepnw5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Reliable Day When All Naps Are Counted (Naps),avgnnapsallrd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Reliable Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15rd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Reliable Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleeprd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekday Day When All Naps Are Counted (Naps),avgnnapsallwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekday Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15wd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekday Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepwd5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekend Day When All Naps Are Counted (Naps),avgnnapsallwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekend Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15we5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekend Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepwe5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Workday Day When All Naps Are Counted (Naps),avgnnapsallwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Workday Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15wo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Workday Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepwo5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Day (Minutes),avgredtalt5,,,,,Study Data - Acd,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Non-Workday Day (Minutes),avgredtaltnw5,,,,,Study Data - Acd,,,
